"","location","key","value","factType"
"1","Oxley Park","buy_house","33.6688","basic"
"2","St Marys South","buy_house","35.6817","basic"
"3","St Clair West","buy_house","54.7605","basic"
"4","Bennett Road","buy_house","44.3033","basic"
"5","Bidwill","buy_house","28.3485","basic"
"6","Blackett","buy_house","26.6026","basic"
"7","St Clair East","buy_house","54.8754","basic"
"8","Dharruk","buy_house","41.6138","basic"
"9","Eastern Creek","buy_house","53.6058","basic"
"10","Emerton","buy_house","27.7154","basic"
"11","Hebersham","buy_house","44.7441","basic"
"12","Lethbridge Park","buy_house","21.2565","basic"
"13","Whalan South","buy_house","24.1223","basic"
"14","Minchinbury","buy_house","57.4065","basic"
"15","Mount Druitt","buy_house","37.1474","basic"
"16","Mount Druitt North","buy_house","35.2069","basic"
"17","Mount Druitt South","buy_house","27.7929","basic"
"18","Plumpton","buy_house","61.1338","basic"
"19","Rooty Hill North","buy_house","38.4572","basic"
"20","Rooty Hill South","buy_house","44.0609","basic"
"21","St Clair","buy_house","50.6868","basic"
"22","St Marys North","buy_house","32.0","basic"
"23","Shalvey","buy_house","29.5436","basic"
"24","Tregear","buy_house","20.2857","basic"
"25","Whalan","buy_house","23.8251","basic"
"26","Willmot","buy_house","37.8551","basic"
"27","Erskine Park","buy_house","55.5483","basic"
"28","Hassall Grove","buy_house","60.7411","basic"
"29","Glendenning","buy_house","63.7309","basic"
"30","Schofields (Chifley)","buy_house","35.3349","basic"
"31","Dean Park","buy_house","53.0525","basic"
"32","Marsden Park","buy_house","19.9616","basic"
"33","Oxley Park","dis_ser_","28.2161","basic"
"34","St Marys South","dis_ser_","27.9497","basic"
"35","St Clair West","dis_ser_","29.9752","basic"
"36","Bennett Road","dis_ser_","29.7168","basic"
"37","Bidwill","dis_ser_","28.4668","basic"
"38","Blackett","dis_ser_","30.1136","basic"
"39","St Clair East","dis_ser_","26.4634","basic"
"40","Dharruk","dis_ser_","31.032","basic"
"41","Eastern Creek","dis_ser_","23.4168","basic"
"42","Emerton","dis_ser_","29.0576","basic"
"43","Hebersham","dis_ser_","26.5823","basic"
"44","Lethbridge Park","dis_ser_","29.418","basic"
"45","Whalan South","dis_ser_","30.8161","basic"
"46","Minchinbury","dis_ser_","27.6643","basic"
"47","Mount Druitt","dis_ser_","25.8809","basic"
"48","Mount Druitt North","dis_ser_","27.8289","basic"
"49","Mount Druitt South","dis_ser_","29.6748","basic"
"50","Plumpton","dis_ser_","28.2209","basic"
"51","Rooty Hill North","dis_ser_","26.3841","basic"
"52","Rooty Hill South","dis_ser_","25.4888","basic"
"53","St Clair","dis_ser_","27.7537","basic"
"54","St Marys North","dis_ser_","28.5064","basic"
"55","Shalvey","dis_ser_","27.2795","basic"
"56","Tregear","dis_ser_","28.8945","basic"
"57","Whalan","dis_ser_","29.2653","basic"
"58","Willmot","dis_ser_","26.0123","basic"
"59","Erskine Park","dis_ser_","26.0676","basic"
"60","Hassall Grove","dis_ser_","28.3747","basic"
"61","Glendenning","dis_ser_","29.6957","basic"
"62","Schofields (Chifley)","dis_ser_","23.0321","basic"
"63","Dean Park","dis_ser_","28.1897","basic"
"64","Marsden Park","dis_ser_","27.37","basic"
"65","Oxley Park","ot_ch_","17.0479","basic"
"66","St Marys South","ot_ch_","15.3703","basic"
"67","St Clair West","ot_ch_","13.8327","basic"
"68","Bennett Road","ot_ch_","16.4766","basic"
"69","Bidwill","ot_ch_","18.0568","basic"
"70","Blackett","ot_ch_","16.9193","basic"
"71","St Clair East","ot_ch_","14.5414","basic"
"72","Dharruk","ot_ch_","17.8999","basic"
"73","Eastern Creek","ot_ch_","17.2981","basic"
"74","Emerton","ot_ch_","20.2991","basic"
"75","Hebersham","ot_ch_","17.7742","basic"
"76","Lethbridge Park","ot_ch_","19.0556","basic"
"77","Whalan South","ot_ch_","16.2799","basic"
"78","Minchinbury","ot_ch_","17.8035","basic"
"79","Mount Druitt","ot_ch_","15.9155","basic"
"80","Mount Druitt North","ot_ch_","17.9682","basic"
"81","Mount Druitt South","ot_ch_","16.6942","basic"
"82","Plumpton","ot_ch_","16.4148","basic"
"83","Rooty Hill North","ot_ch_","14.7119","basic"
"84","Rooty Hill South","ot_ch_","18.5283","basic"
"85","St Clair","ot_ch_","14.5109","basic"
"86","St Marys North","ot_ch_","14.9796","basic"
"87","Shalvey","ot_ch_","18.6882","basic"
"88","Tregear","ot_ch_","19.242","basic"
"89","Whalan","ot_ch_","16.8012","basic"
"90","Willmot","ot_ch_","14.4037","basic"
"91","Erskine Park","ot_ch_","13.3382","basic"
"92","Hassall Grove","ot_ch_","17.6108","basic"
"93","Glendenning","ot_ch_","13.6667","basic"
"94","Schofields (Chifley)","ot_ch_","13.0631","basic"
"95","Dean Park","ot_ch_","16.1117","basic"
"96","Marsden Park","ot_ch_","9.3865","basic"
"97","Oxley Park","islamic","3.6864","basic"
"98","St Marys South","islamic","3.8426","basic"
"99","St Clair West","islamic","2.8741","basic"
"100","Bennett Road","islamic","3.4221","basic"
"101","Bidwill","islamic","4.3028","basic"
"102","Blackett","islamic","3.354","basic"
"103","St Clair East","islamic","2.9018","basic"
"104","Dharruk","islamic","15.1795","basic"
"105","Eastern Creek","islamic","3.7884","basic"
"106","Emerton","islamic","5.1215","basic"
"107","Hebersham","islamic","10.0693","basic"
"108","Lethbridge Park","islamic","1.7144","basic"
"109","Whalan South","islamic","4.471","basic"
"110","Minchinbury","islamic","5.8289","basic"
"111","Mount Druitt","islamic","21.1067","basic"
"112","Mount Druitt North","islamic","15.0426","basic"
"113","Mount Druitt South","islamic","10.3719","basic"
"114","Plumpton","islamic","9.8295","basic"
"115","Rooty Hill North","islamic","5.661","basic"
"116","Rooty Hill South","islamic","3.1662","basic"
"117","St Clair","islamic","4.1892","basic"
"118","St Marys North","islamic","1.7368","basic"
"119","Shalvey","islamic","4.1476","basic"
"120","Tregear","islamic","3.3191","basic"
"121","Whalan","islamic","4.4387","basic"
"122","Willmot","islamic","3.578","basic"
"123","Erskine Park","islamic","2.3516","basic"
