serviceapprovalgranteddate, qualityarea3rating, phone, numberofapprovedplaces, fax, provider_approval_number, overallrating, providerlegalname, servicename, state, qualityarea6rating, qualityarea2rating, qualityarea7rating, serviceaddress, postcode, qualityarea4rating, conditions_on_approval, serviceapprovalnumber, qualityarea1rating, suburb, ogc_fid, qualityarea5rating, email_address
"2010-04-19T00:00:00.000+0000","Working Towards NQS                                                                                                                                                                                                                                            ","02 9675 3320                                                                                                                                                                                                                                                   ",38.0,"02 9675 4402                                                                                                                                                                                                                                                   ","PR-00005757                                                                                                                                                                                                                                                    ","Working Towards NQS                                                                                                                                                                                                                                            ","Angelos Childcare Centre                                                                                                                                                                                                                                       ","Angelos Childcare Centre                                                                                                                                                                                                                                       ","NSW                                                                                                                                                                                                                                                            ","Working Towards NQS                                                                                                                                                                                                                                            ","Meeting NQS                                                                                                                                                                                                                                                    ","Working Towards NQS                                                                                                                                                                                                                                            ","St Bishoy Coptic Orthodox College 53-59 Methven St                                                                                                                                                                                                             ",2770.0,"Meeting NQS                                                                                                                                                                                                                                                    ",null,"SE-00006432                                                                                                                                                                                                                                                    ","Working Towards NQS                                                                                                                                                                                                                                            ","MOUNT DRUITT                                                                                                                                                                                                                                                   ",222,"Meeting NQS                                                                                                                                                                                                                                                    ","manager@angeloschildcare.com.au                                                                                                                                                                                                                                "
"2008-12-09T00:00:00.000+0000","Working Towards NQS                                                                                                                                                                                                                                            ","02 9625 7983                                                                                                                                                                                                                                                   ",28.0,"02 9625 7983                                                                                                                                                                                                                                                   ","PR-00003799                                                                                                                                                                                                                                                    ","Working Towards NQS                                                                                                                                                                                                                                            ","Angels Preschool                                                                                                                                                                                                                                               ","Angels Preschool                                                                                                                                                                                                                                               ","NSW                                                                                                                                                                                                                                                            ","Working Towards NQS                                                                                                                                                                                                                                            ","Working Towards NQS                                                                                                                                                                                                                                            ","Working Towards NQS                                                                                                                                                                                                                                            ","39 Durham Street                                                                                                                                                                                                                                               ",2770.0,"Working Towards NQS                                                                                                                                                                                                                                            ",null,"SE-00006437                                                                                                                                                                                                                                                    ","Working Towards NQS                                                                                                                                                                                                                                            ","MOUNT DRUITT                                                                                                                                                                                                                                                   ",229,"Working Towards NQS                                                                                                                                                                                                                                            ","drozarioj@optusnet.com.au                                                                                                                                                                                                                                      "
"2013-04-09T00:00:00.000+0000","Provisional _ Not yet assessed                                                                                                                                                                                                                                 ","02 9677 0690                                                                                                                                                                                                                                                   ",80.0,"02 9675 7533                                                                                                                                                                                                                                                   ","PR-00006735                                                                                                                                                                                                                                                    ","Provisional _ Not yet assessed                                                                                                                                                                                                                                 ","Archangel Michael & St Bishoy Vacation Care                                                                                                                                                                                                                    ","Archangel Michael & St Bishoy Vacation Care                                                                                                                                                                                                                    ","NSW                                                                                                                                                                                                                                                            ","Provisional _ Not yet assessed                                                                                                                                                                                                                                 ","Provisional _ Not yet assessed                                                                                                                                                                                                                                 ","Provisional _ Not yet assessed                                                                                                                                                                                                                                 ","53-59 Methven Street                                                                                                                                                                                                                                           ",2770.0,"Provisional _ Not yet assessed                                                                                                                                                                                                                                 ",null,"SE-00012195                                                                                                                                                                                                                                                    ","Provisional _ Not yet assessed                                                                                                                                                                                                                                 ","MT DRUITT                                                                                                                                                                                                                                                      ",264,"Provisional _ Not yet assessed                                                                                                                                                                                                                                 ","stbishoyvc@gmail.com                                                                                                                                                                                                                                           "
"2008-10-07T00:00:00.000+0000","Meeting NQS                                                                                                                                                                                                                                                    ","02 9628 3812                                                                                                                                                                                                                                                   ",40.0,"02 9835 3209                                                                                                                                                                                                                                                   ","PR-00004024                                                                                                                                                                                                                                                    ","Meeting NQS                                                                                                                                                                                                                                                    ","Blackett Child Care Centre                                                                                                                                                                                                                                     ","Blackett Child Care Centre                                                                                                                                                                                                                                     ","NSW                                                                                                                                                                                                                                                            ","Meeting NQS                                                                                                                                                                                                                                                    ","Meeting NQS                                                                                                                                                                                                                                                    ","Meeting NQS                                                                                                                                                                                                                                                    ","25 Boldrewood Road                                                                                                                                                                                                                                             ",2770.0,"Meeting NQS                                                                                                                                                                                                                                                    ",null,"SE-00006652                                                                                                                                                                                                                                                    ","Meeting NQS                                                                                                                                                                                                                                                    ","BLACKETT                                                                                                                                                                                                                                                       ",709,"Meeting NQS                                                                                                                                                                                                                                                    ","Peter.Head@blacktown.nsw.gov.au                                                                                                                                                                                                                                "
"2013-09-27T00:00:00.000+0000","Provisional _ Not Yet Assessed                                                                                                                                                                                                                                 ","296322229                                                                                                                                                                                                                                                      ",78.0,"296322228                                                                                                                                                                                                                                                      ","PR-40000791                                                                                                                                                                                                                                                    ","Provisional _ Not Yet Assessed                                                                                                                                                                                                                                 ","Bright Beginnings Learning Centre Glendenning Pty Ltd                                                                                                                                                                                                          ","Bright Beginnings Learning Centre Glendenning Pty Ltd                                                                                                                                                                                                          ","NSW                                                                                                                                                                                                                                                            ","Provisional _ Not Yet Assessed                                                                                                                                                                                                                                 ","Provisional _ Not Yet Assessed                                                                                                                                                                                                                                 ","Provisional _ Not Yet Assessed                                                                                                                                                                                                                                 ","17 Ainsley Ave                                                                                                                                                                                                                                                 ",2761.0,"Provisional _ Not Yet Assessed                                                                                                                                                                                                                                 ",null,"SE-40000890                                                                                                                                                                                                                                                    ","Provisional _ Not Yet Assessed                                                                                                                                                                                                                                 ","GLENDENNING                                                                                                                                                                                                                                                    ",839,"Provisional _ Not Yet Assessed                                                                                                                                                                                                                                 ","bblc66@gmail.com                                                                                                                                                                                                                                               "
"2014-01-08T00:00:00.000+0000","Provisional _ Not Yet Assessed                                                                                                                                                                                                                                 ","432013112                                                                                                                                                                                                                                                      ",0.0,null,"PR-40001212                                                                                                                                                                                                                                                    ","Provisional _ Not Yet Assessed                                                                                                                                                                                                                                 ","Bright Family Day Care Pty Ltd                                                                                                                                                                                                                                 ","Bright Family Day Care Pty Ltd                                                                                                                                                                                                                                 ","NSW                                                                                                                                                                                                                                                            ","Provisional _ Not Yet Assessed                                                                                                                                                                                                                                 ","Provisional _ Not Yet Assessed                                                                                                                                                                                                                                 ","Provisional _ Not Yet Assessed                                                                                                                                                                                                                                 ","56 Morehead Ave                                                                                                                                                                                                                                                ",2770.0,"Provisional _ Not Yet Assessed                                                                                                                                                                                                                                 "," The approved provider must employ at least 1 full time family day care co-ordinator for every 15 family day care educators providing education and care for children. The approved provider must ensure that the maximum number of family day care educators that may be employed or engaged by the service is 60.","SE-40001416                                                                                                                                                                                                                                                    ","Provisional _ Not Yet Assessed                                                                                                                                                                                                                                 ","MOUNT DRUITT                                                                                                                                                                                                                                                   ",847,"Provisional _ Not Yet Assessed                                                                                                                                                                                                                                 ","brightfdc@hotmail.com                                                                                                                                                                                                                                          "
"2007-01-09T00:00:00.000+0000","Working Towards NQS                                                                                                                                                                                                                                            ","02 8840 8406                                                                                                                                                                                                                                                   ",66.0,"02 8840 8406                                                                                                                                                                                                                                                   ","PR-00003221                                                                                                                                                                                                                                                    ","Working Towards NQS                                                                                                                                                                                                                                            ","Children's World Learning & Development Centre                                                                                                                                                                                                                 ","Children's World Learning & Development Centre                                                                                                                                                                                                                 ","NSW                                                                                                                                                                                                                                                            ","Working Towards NQS                                                                                                                                                                                                                                            ","Working Towards NQS                                                                                                                                                                                                                                            ","Working Towards NQS                                                                                                                                                                                                                                            ","22 Nelson Street                                                                                                                                                                                                                                               ",2770.0,"Meeting NQS                                                                                                                                                                                                                                                    ",null,"SE-00006944                                                                                                                                                                                                                                                    ","Working Towards NQS                                                                                                                                                                                                                                            ","MT DRUITT                                                                                                                                                                                                                                                      ",1498,"Meeting NQS                                                                                                                                                                                                                                                    ","sarah@childrensworld.com.au                                                                                                                                                                                                                                    "
"2013-04-29T00:00:00.000+0000","Provisional _ Not yet assessed                                                                                                                                                                                                                                 ","02 9832 8555                                                                                                                                                                                                                                                   ",24.0,"02 9832 8724                                                                                                                                                                                                                                                   ","PR-00008030                                                                                                                                                                                                                                                    ","Provisional _ Not yet assessed                                                                                                                                                                                                                                 ","Circle of Activities for Kidz                                                                                                                                                                                                                                  ","Circle of Activities for Kidz                                                                                                                                                                                                                                  ","NSW                                                                                                                                                                                                                                                            ","Provisional _ Not yet assessed                                                                                                                                                                                                                                 ","Provisional _ Not yet assessed                                                                                                                                                                                                                                 ","Provisional _ Not yet assessed                                                                                                                                                                                                                                 ","135 Armitage Drive                                                                                                                                                                                                                                             ",2761.0,"Provisional _ Not yet assessed                                                                                                                                                                                                                                 ",null,"SE-00013869                                                                                                                                                                                                                                                    ","Provisional _ Not yet assessed                                                                                                                                                                                                                                 ","GLENDENNING                                                                                                                                                                                                                                                    ",1540,"Provisional _ Not yet assessed                                                                                                                                                                                                                                 ",null
"2008-11-13T00:00:00.000+0000","Provisional _ Not yet assessed                                                                                                                                                                                                                                 ","02 9625 9031                                                                                                                                                                                                                                                   ",40.0,"02 9832 1332                                                                                                                                                                                                                                                   ","PR-00005345                                                                                                                                                                                                                                                    ","Provisional _ Not yet assessed                                                                                                                                                                                                                                 ","Dawson Public School Preschool                                                                                                                                                                                                                                 ","Dawson Public School Preschool                                                                                                                                                                                                                                 ","NSW                                                                                                                                                                                                                                                            ","Provisional _ Not yet assessed                                                                                                                                                                                                                                 ","Provisional _ Not yet assessed                                                                                                                                                                                                                                 ","Provisional _ Not yet assessed                                                                                                                                                                                                                                 ","Stuart Road                                                                                                                                                                                                                                                    ",2770.0,"Provisional _ Not yet assessed                                                                                                                                                                                                                                 ",null,"SE-00007089                                                                                                                                                                                                                                                    ","Provisional _ Not yet assessed                                                                                                                                                                                                                                 ","DHARRUK                                                                                                                                                                                                                                                        ",1789,"Provisional _ Not yet assessed                                                                                                                                                                                                                                 ","dawson-p.School@det.nsw.edu.au                                                                                                                                                                                                                                 "
"2013-08-27T00:00:00.000+0000","Provisional _ Not Yet Assessed                                                                                                                                                                                                                                 ","416184118                                                                                                                                                                                                                                                      ",0.0,null,"PR-40000916                                                                                                                                                                                                                                                    ","Provisional _ Not Yet Assessed                                                                                                                                                                                                                                 ","All Areas Family Day Care                                                                                                                                                                                                                                      ","All Areas Family Day Care                                                                                                                                                                                                                                      ","NSW                                                                                                                                                                                                                                                            ","Provisional _ Not Yet Assessed                                                                                                                                                                                                                                 ","Provisional _ Not Yet Assessed                                                                                                                                                                                                                                 ","Provisional _ Not Yet Assessed                                                                                                                                                                                                                                 ","1 Cuvee Pl                                                                                                                                                                                                                                                     ",2770.0,"Provisional _ Not Yet Assessed                                                                                                                                                                                                                                 "," The approved provider must ensure that the maximum number of family day care educators that may be employed or engaged by the service is 60. The approved provider must employ at least 1 full time family day care co-ordinator for every 15 family day care educators providing education and care for children.","SE-40001008                                                                                                                                                                                                                                                    ","Provisional _ Not Yet Assessed                                                                                                                                                                                                                                 ","MINCHINBURY                                                                                                                                                                                                                                                    ",2117,"Provisional _ Not Yet Assessed                                                                                                                                                                                                                                 ","amikhail60@hotmail.com                                                                                                                                                                                                                                         "
