lq_3_3, lq_47_47, lq_10_10, lq_40_40, lq_45_45, lq_41_41, lq_27_27, lq_1_1, pollingpla, lq_12_12, lq_32_32, lq_38_38, lq_13_13, lq_23_23, lq_36_36, lq_8_8, lq_48_48, lq_46_46, lq_44_44, lq_6_6, stateab, poll_id, lq_22_22, lq_16_16, lq_42_42, lq_4_4, lq_43_43, lq_2_2, lq_20, lq_21, lq_22, lq_23, lq_24, lq_25, lq_26, lq_34_34, lq_27, lq_29_29, lq_26_26, lq_28_28, lq_18, lq_17, lq_33_33, lq_30_30, lq_19, lq_11_11, lq_11, lq_12, lq_10, lq_25_25, lq_15, lq_9_9, lq_16, lq_13, lq_14, lq_15_15, lq_35_35, lq_20_20, boundedBy, lq_17_17, lq_46, lq_47, lq_48, lq_19_19, lq_1, lq_42, lq_43, lq_44, lq_45, lq_31_31, lq_5, lq_4, lq_3, lq_40, lq_2, lq_41, lq_9, lq_8, lq_7, lq_6, lq_18_18, lq_21_21, lq_39, lq_24_24, lq_37, lq_38, lq_35, lq_36, lq_33, lq_34, lq_37_37, lq_31, lq_32, lq_30, lq_7_7, lq_5_5, lq_14_14, lq_29, lq_39_39, lq_28
"1.00 - 1.24","1.00 - 1.24","0.50 - 0.74","0.50 - 0.74","1.00 - 1.24","0.75 - 0.99","1.50 - 1.74","0.75 - 0.99","Oxley Park","0.75 - 0.99","0.75 - 0.99","1.00 - 1.24","0.75 - 0.99","1.25 - 1.49","0.50 - 0.74","0.50 - 0.74","0.25 - 0.49","1.00 - 1.24","0.50 - 0.74","0.75 - 0.99","NSW",1497,"0.75 - 0.99","1.00 - 1.24","0.75 - 0.99","1.00 - 1.24","0.75 - 0.99","1.00 - 1.24",2.1252,2.1389,0.8043,1.3113,1.1216,1.4484,0.9665,"1.25 - 1.49",1.6647,"0.50 - 0.74","0.75 - 0.99","0.50 - 0.74",1.1303,1.4343,"1.25 - 1.49","1.00 - 1.24",0.6033,"1.75 - 1.99",1.886,0.8527,0.7147,"1.25 - 1.49",1.2527,"0.75 - 0.99",1.1064,0.8343,0.9643,"1.25 - 1.49","0.75 - 0.99","2.00 - 21.81",[150.77733914,-33.7785317,150.80342582,-33.76302002],"1.25 - 1.49",1.0449,1.1433,0.4849,"0.50 - 0.74",0.9853,0.9715,0.829,0.5029,1.1681,"0.75 - 0.99",0.9391,1.117,1.0474,0.7001,1.0888,0.8486,0.9861,0.7149,0.9389,0.9558,"1.00 - 1.24","2.00 - 45.48",1.3397,"1.00 - 1.24",0.1509,1.2286,0.9767,0.5331,1.4684,1.3606,"0.00 - 0.24",0.909,0.9362,0.9977,"0.75 - 0.99","0.75 - 0.99","0.75 - 0.99",0.605,"1.25 - 1.49",0.6498
"1.00 - 1.24","1.00 - 1.24","0.50 - 0.74","0.75 - 0.99","1.25 - 1.49","0.75 - 0.99","1.50 - 1.74","1.00 - 1.24","St Marys South","0.75 - 0.99","0.75 - 0.99","1.25 - 1.49","0.75 - 0.99","1.50 - 1.74","0.50 - 0.74","0.50 - 0.74","0.50 - 0.74","1.00 - 1.24","0.50 - 0.74","0.75 - 0.99","NSW",1506,"0.75 - 0.99","1.00 - 1.24","1.25 - 1.49","1.00 - 1.24","0.75 - 0.99","1.00 - 1.24",2.1973,2.1746,0.9911,1.5075,1.0767,0.6945,0.8714,"1.25 - 1.49",1.7352,"0.50 - 0.74","0.75 - 0.99","0.75 - 0.99",1.1193,1.4608,"1.00 - 1.24","0.75 - 0.99",0.773,"1.50 - 1.74",1.554,0.9691,0.7394,"0.50 - 0.74",1.0793,"0.75 - 0.99",1.0617,0.885,1.022,"1.00 - 1.24","0.75 - 0.99","2.00 - 21.81",[150.76476499,-33.78594458,150.78582701,-33.77233394],"1.25 - 1.49",1.1167,1.1185,0.5278,"0.75 - 0.99",1.008,1.3521,0.8813,0.5488,1.2531,"0.75 - 0.99",0.9382,1.1404,1.0111,0.7664,1.0665,0.7708,0.9863,0.7049,0.993,0.9403,"1.00 - 1.24","2.00 - 45.48",1.327,"1.00 - 1.24",0.0,1.3333,0.992,0.5551,1.1964,1.3338,"0.00 - 0.24",0.9274,0.972,0.8982,"0.75 - 0.99","0.75 - 0.99","1.00 - 1.24",0.5921,"1.25 - 1.49",0.8211
"1.25 - 1.49","1.00 - 1.24","0.50 - 0.74","0.75 - 0.99","1.25 - 1.49","0.75 - 0.99","1.25 - 1.49","1.00 - 1.24","St Clair West","1.00 - 1.24","1.00 - 1.24","1.00 - 1.24","0.75 - 0.99","1.50 - 1.74","0.50 - 0.74","0.25 - 0.49","1.00 - 1.24","0.25 - 0.49","0.50 - 0.74","1.00 - 1.24","NSW",383,"1.00 - 1.24","0.00 - 0.24","1.00 - 1.24","1.00 - 1.24","0.50 - 0.74","1.00 - 1.24",2.0686,1.5096,1.1422,1.6123,1.1726,1.1897,0.7843,"1.25 - 1.49",1.2978,"0.50 - 0.74","0.75 - 0.99","0.50 - 0.74",1.0189,1.04,"0.75 - 0.99","0.50 - 0.74",0.6556,"1.00 - 1.24",1.1084,1.0955,0.6773,"1.00 - 1.24",0.621,"0.25 - 0.49",0.0897,0.8133,1.5685,"0.50 - 0.74","0.75 - 0.99","2.00 - 21.81",[150.76826848,-33.80527232,150.78243565,-33.78407782],"1.00 - 1.24",0.426,1.2188,1.0878,"0.50 - 0.74",0.9995,1.08,0.6941,0.6301,1.277,"1.00 - 1.24",0.9622,1.1836,1.2915,0.7664,1.1085,0.8123,0.3873,0.334,0.6446,1.101,"1.00 - 1.24","1.50 - 1.74",1.4232,"1.00 - 1.24",0.0502,1.2014,0.9265,0.5426,0.8929,1.3866,"0.00 - 0.24",1.1147,1.1454,0.6577,"0.50 - 0.74","0.75 - 0.99","1.50 - 1.74",0.5113,"1.25 - 1.49",0.6025
"1.00 - 1.24","1.00 - 1.24","0.50 - 0.74","0.75 - 0.99","1.25 - 1.49","0.75 - 0.99","1.50 - 1.74","1.00 - 1.24","Bennett Road","1.00 - 1.24","0.75 - 0.99","1.25 - 1.49","0.75 - 0.99","1.25 - 1.49","0.25 - 0.49","0.50 - 0.74","0.50 - 0.74","0.75 - 0.99","0.25 - 0.49","0.75 - 0.99","NSW",384,"0.75 - 0.99","0.75 - 0.99","1.00 - 1.24","1.00 - 1.24","0.75 - 0.99","1.00 - 1.24",1.45,2.1056,0.7697,1.4016,1.205,0.789,0.9341,"1.25 - 1.49",1.5453,"0.50 - 0.74","0.75 - 0.99","0.75 - 0.99",1.02,1.4918,"1.00 - 1.24","0.50 - 0.74",0.6136,"1.25 - 1.49",1.3758,1.0104,0.7428,"0.75 - 0.99",0.7314,"0.50 - 0.74",0.846,0.9432,1.2689,"0.50 - 0.74","1.00 - 1.24","1.25 - 1.49",[150.78243565,-33.7911216,150.81191322,-33.77462137],"1.25 - 1.49",0.8536,1.1874,0.6291,"0.50 - 0.74",1.0029,0.9983,0.83,0.4142,1.3066,"0.75 - 0.99",1.0089,1.0177,1.0423,0.7734,1.1439,0.7742,0.7277,0.6103,0.9837,0.9313,"1.00 - 1.24","2.00 - 45.48",1.4109,"1.00 - 1.24",0.045,1.2681,1.1186,0.4941,1.2262,1.3337,"0.00 - 0.24",0.9572,0.9934,0.7129,"0.75 - 0.99","1.00 - 1.24","1.25 - 1.49",0.5607,"1.25 - 1.49",0.7789
"1.00 - 1.24","0.75 - 0.99","0.25 - 0.49","0.50 - 0.74","1.00 - 1.24","0.75 - 0.99","1.75 - 1.99","0.75 - 0.99","Bidwill","0.75 - 0.99","0.75 - 0.99","1.25 - 1.49","0.25 - 0.49","1.25 - 1.49","0.25 - 0.49","0.25 - 0.49","0.25 - 0.49","1.25 - 1.49","0.25 - 0.49","0.75 - 0.99","NSW",385,"0.75 - 0.99","2.00 - 21.76","1.00 - 1.24","0.75 - 0.99","0.75 - 0.99","1.50 - 1.74",0.3252,1.263,0.847,1.2668,1.1144,1.2543,1.0237,"1.25 - 1.49",1.943,"0.50 - 0.74","1.00 - 1.24","0.50 - 0.74",1.0679,3.9638,"2.00 - 7.40","0.50 - 0.74",0.4633,"2.00 - 3.62",2.5117,0.9406,0.464,"1.25 - 1.49",0.5918,"0.50 - 0.74",10.5186,0.3475,0.812,"0.50 - 0.74","1.00 - 1.24","0.25 - 0.49",[150.81517926,-33.74243676,150.83482106,-33.72456102],"2.00 - 38.91",1.3794,0.9939,0.354,"0.25 - 0.49",0.9623,1.2308,0.8264,0.4596,1.1017,"0.75 - 0.99",0.9586,0.8672,1.0942,0.6602,1.5716,0.7974,0.6433,0.286,0.7336,0.852,"1.00 - 1.24","1.25 - 1.49",1.3516,"1.00 - 1.24",0.0305,1.2873,1.0456,0.4282,2.7922,1.3995,"0.00 - 0.24",0.8714,0.7545,0.6292,"0.50 - 0.74","0.75 - 0.99","0.75 - 0.99",0.6359,"1.25 - 1.49",0.6456
"1.25 - 1.49","1.00 - 1.24","0.50 - 0.74","0.25 - 0.49","1.00 - 1.24","0.50 - 0.74","1.50 - 1.74","0.75 - 0.99","Blackett","0.75 - 0.99","0.50 - 0.74","1.25 - 1.49","0.50 - 0.74","1.00 - 1.24","0.25 - 0.49","0.25 - 0.49","0.25 - 0.49","1.25 - 1.49","0.00 - 0.24","0.75 - 0.99","NSW",386,"0.25 - 0.49","2.00 - 21.76","1.25 - 1.49","0.75 - 0.99","0.75 - 0.99","1.25 - 1.49",1.2784,1.0608,0.4618,1.2201,1.2822,1.9533,0.9592,"1.25 - 1.49",1.5146,"0.50 - 0.74","0.75 - 0.99","0.25 - 0.49",1.0257,3.4682,"2.00 - 7.40","0.50 - 0.74",0.5822,"2.00 - 3.62",2.3618,0.8176,0.5588,"1.75 - 1.99",0.8398,"0.75 - 0.99",6.2246,0.7073,0.762,"0.75 - 0.99","1.00 - 1.24","1.25 - 1.49",[150.80869686,-33.74359416,150.82376867,-33.72862886],"2.00 - 38.91",1.4246,1.0192,0.3182,"0.50 - 0.74",0.9872,1.4373,0.8348,0.2104,1.1339,"0.75 - 0.99",0.9139,0.901,1.2501,0.432,1.3757,0.7238,0.8047,0.4243,0.9936,0.8022,"1.00 - 1.24","1.00 - 1.24",1.4298,"1.25 - 1.49",0.0574,1.37,1.092,0.2825,2.1331,1.4897,"0.00 - 0.24",0.8485,0.7033,0.6903,"0.75 - 0.99","0.75 - 0.99","0.75 - 0.99",0.6851,"1.25 - 1.49",0.3306
"1.25 - 1.49","1.00 - 1.24","0.50 - 0.74","0.75 - 0.99","1.25 - 1.49","0.75 - 0.99","1.25 - 1.49","1.00 - 1.24","St Clair East","1.00 - 1.24","1.00 - 1.24","1.25 - 1.49","0.75 - 0.99","1.50 - 1.74","0.50 - 0.74","0.25 - 0.49","1.00 - 1.24","0.50 - 0.74","0.50 - 0.74","1.00 - 1.24","NSW",391,"0.75 - 0.99","0.25 - 0.49","0.75 - 0.99","1.00 - 1.24","0.75 - 0.99","1.00 - 1.24",1.3839,2.4967,0.8995,1.6753,1.1128,1.0052,0.8244,"1.25 - 1.49",1.3104,"0.50 - 0.74","0.75 - 0.99","0.50 - 0.74",0.9406,0.9235,"1.00 - 1.24","0.50 - 0.74",0.6993,"1.00 - 1.24",1.1823,1.1281,0.6358,"1.00 - 1.24",0.5982,"0.25 - 0.49",0.4542,0.8228,1.5717,"0.50 - 0.74","0.75 - 0.99","1.25 - 1.49",[150.79014576,-33.80618371,150.81148518,-33.78837389],"0.75 - 0.99",0.5311,1.173,1.0662,"0.50 - 0.74",1.0098,0.9471,0.7495,0.6855,1.3287,"1.00 - 1.24",0.9568,1.003,1.3889,0.9033,1.2011,0.8018,0.4122,0.273,0.6047,1.1592,"0.75 - 0.99","2.00 - 45.48",1.2564,"1.00 - 1.24",0.1367,1.323,0.9469,0.6339,1.0583,1.3011,"0.00 - 0.24",1.1128,1.1839,0.6381,"0.50 - 0.74","0.75 - 0.99","1.50 - 1.74",0.506,"1.25 - 1.49",0.691
"1.00 - 1.24","1.00 - 1.24","0.50 - 0.74","0.50 - 0.74","1.00 - 1.24","0.75 - 0.99","2.00 - 43.54","1.00 - 1.24","Dharruk","1.00 - 1.24","0.75 - 0.99","1.00 - 1.24","0.75 - 0.99","1.00 - 1.24","0.25 - 0.49","0.25 - 0.49","0.50 - 0.74","0.75 - 0.99","0.50 - 0.74","0.75 - 0.99","NSW",392,"1.00 - 1.24","2.00 - 21.76","1.25 - 1.49","1.00 - 1.24","0.75 - 0.99","1.25 - 1.49",0.7001,3.8122,1.0,1.1241,0.9476,0.6392,1.0148,"1.25 - 1.49",6.8545,"0.25 - 0.49","1.00 - 1.24","0.75 - 0.99",1.4073,1.7925,"1.50 - 1.74","0.50 - 0.74",0.4623,"1.50 - 1.74",1.6155,1.0733,0.6278,"0.50 - 0.74",0.8483,"0.50 - 0.74",2.1464,0.7946,1.1919,"0.75 - 0.99","0.75 - 0.99","0.50 - 0.74",[150.81066109,-33.75858136,150.82269805,-33.742973],"1.75 - 1.99",0.8973,1.1804,0.501,"0.25 - 0.49",1.0102,1.2643,0.7748,0.5554,1.089,"0.75 - 0.99",0.9818,1.0791,1.1531,0.6061,1.264,0.7661,0.6184,0.3464,0.8156,0.9226,"1.25 - 1.49","2.00 - 45.48",1.4734,"0.75 - 0.99",0.1028,1.1633,0.9777,0.4038,1.5079,1.4293,"0.00 - 0.24",0.9725,0.8771,0.6988,"0.75 - 0.99","0.75 - 0.99","1.00 - 1.24",0.3781,"1.25 - 1.49",0.9874
"1.00 - 1.24","1.00 - 1.24","0.50 - 0.74","0.50 - 0.74","1.00 - 1.24","0.75 - 0.99","1.50 - 1.74","1.00 - 1.24","Eastern Creek","1.25 - 1.49","1.00 - 1.24","1.50 - 1.74","0.50 - 0.74","1.50 - 1.74","0.50 - 0.74","0.50 - 0.74","1.00 - 1.24","0.50 - 0.74","0.75 - 0.99","0.75 - 0.99","NSW",395,"2.00 - 8.26","0.00 - 0.24","1.00 - 1.24","1.00 - 1.24","0.75 - 0.99","1.00 - 1.24",1.8395,3.2435,2.0595,1.5517,0.8356,2.8421,0.9807,"1.00 - 1.24",1.7107,"0.25 - 0.49","0.75 - 0.99","1.25 - 1.49",1.3266,0.8411,"2.00 - 7.40","0.75 - 0.99",0.4049,"1.00 - 1.24",1.1693,1.2622,0.6679,"2.00 - 21.68",0.753,"0.50 - 0.74",0.2371,0.6973,1.5354,"0.75 - 0.99","0.75 - 0.99","1.75 - 1.99",[150.84143536,-33.80087448,150.87155782,-33.78131967],"0.75 - 0.99",0.714,1.1164,1.0848,"0.25 - 0.49",0.999,1.0523,0.7758,0.7734,1.1946,"0.75 - 0.99",0.9938,1.0649,1.1349,0.5498,1.2262,0.9126,0.6268,0.5106,0.765,0.9625,"1.25 - 1.49","2.00 - 45.48",1.1118,"0.75 - 0.99",0.0,1.5957,0.9907,0.6676,2.475,1.2334,"0.00 - 0.24",0.983,1.0528,0.834,"0.75 - 0.99","0.75 - 0.99","1.50 - 1.74",0.3942,"1.00 - 1.24",1.4578
"1.25 - 1.49","1.00 - 1.24","0.50 - 0.74","0.25 - 0.49","1.00 - 1.24","0.50 - 0.74","2.00 - 43.54","1.00 - 1.24","Emerton","0.75 - 0.99","0.50 - 0.74","1.25 - 1.49","0.50 - 0.74","1.00 - 1.24","0.25 - 0.49","0.25 - 0.49","0.25 - 0.49","1.25 - 1.49","0.25 - 0.49","0.75 - 0.99","NSW",396,"0.50 - 0.74","2.00 - 21.76","1.00 - 1.24","0.75 - 0.99","1.00 - 1.24","1.25 - 1.49",0.9635,2.0486,0.5898,1.119,1.0247,1.4189,1.1509,"1.25 - 1.49",2.3127,"0.50 - 0.74","1.00 - 1.24","0.50 - 0.74",1.3003,2.2761,"2.00 - 7.40","0.50 - 0.74",0.5997,"2.00 - 3.62",2.3211,0.8648,0.5526,"1.25 - 1.49",0.9977,"0.75 - 0.99",6.0652,0.5958,0.7938,"1.00 - 1.24","1.00 - 1.24","0.75 - 0.99",[150.79853901,-33.75072376,150.81086458,-33.73506749],"2.00 - 38.91",1.3694,1.0601,0.2859,"0.50 - 0.74",1.0056,1.1385,1.0999,0.2894,1.0672,"0.75 - 0.99",0.949,0.8117,1.3571,0.3431,1.3942,0.7369,0.9638,0.3953,0.9634,0.8358,"1.25 - 1.49","2.00 - 45.48",1.3796,"1.00 - 1.24",0.0926,1.3469,1.0111,0.3522,2.2656,1.4431,"0.00 - 0.24",0.8025,0.6598,0.6926,"0.75 - 0.99","0.75 - 0.99","0.75 - 0.99",0.6403,"1.25 - 1.49",0.5428
