gcc_name11, mb_cat11, ste_name11, sa3_name11, sa2_main11, ste_code11, sa3_code11, sa4_name11, persons_usually_resident, sa4_code11, sa2_name11, gcc_code11, mb_code11, dwellings, sa1_main11
"Greater Sydney","Residential","New South Wales","St Marys","124051471","1","12405","Sydney - Outer West and Blue Mountains",96,"124","St Marys - Colyton","1GSYD","10600340000",38,"12405147152"
"Greater Sydney","Residential","New South Wales","St Marys","124051471","1","12405","Sydney - Outer West and Blue Mountains",87,"124","St Marys - Colyton","1GSYD","10600330000",30,"12405147151"
"Greater Sydney","Residential","New South Wales","St Marys","124051470","1","12405","Sydney - Outer West and Blue Mountains",111,"124","St Clair","1GSYD","10600170000",35,"12405147008"
"Greater Sydney","Parkland","New South Wales","St Marys","124051471","1","12405","Sydney - Outer West and Blue Mountains",0,"124","St Marys - Colyton","1GSYD","10600180000",0,"12405147132"
"Greater Sydney","Residential","New South Wales","St Marys","124051471","1","12405","Sydney - Outer West and Blue Mountains",145,"124","St Marys - Colyton","1GSYD","10600220000",57,"12405147106"
"Greater Sydney","Residential","New South Wales","St Marys","124051471","1","12405","Sydney - Outer West and Blue Mountains",126,"124","St Marys - Colyton","1GSYD","10600190000",38,"12405147132"
"Greater Sydney","Residential","New South Wales","St Marys","124051471","1","12405","Sydney - Outer West and Blue Mountains",98,"124","St Marys - Colyton","1GSYD","10600200000",38,"12405147139"
"Greater Sydney","Residential","New South Wales","St Marys","124051471","1","12405","Sydney - Outer West and Blue Mountains",121,"124","St Marys - Colyton","1GSYD","10600210000",42,"12405147110"
"Greater Sydney","Residential","New South Wales","St Marys","124051470","1","12405","Sydney - Outer West and Blue Mountains",156,"124","St Clair","1GSYD","10600230000",52,"12405147009"
"Greater Sydney","Residential","New South Wales","St Marys","124051471","1","12405","Sydney - Outer West and Blue Mountains",163,"124","St Marys - Colyton","1GSYD","10600240000",53,"12405147110"
"Greater Sydney","Residential","New South Wales","St Marys","124051471","1","12405","Sydney - Outer West and Blue Mountains",110,"124","St Marys - Colyton","1GSYD","10600250000",41,"12405147110"
"Greater Sydney","Residential","New South Wales","St Marys","124051471","1","12405","Sydney - Outer West and Blue Mountains",125,"124","St Marys - Colyton","1GSYD","10600260000",45,"12405147133"
"Greater Sydney","Residential","New South Wales","St Marys","124051471","1","12405","Sydney - Outer West and Blue Mountains",125,"124","St Marys - Colyton","1GSYD","10600270000",46,"12405147138"
"Greater Sydney","Residential","New South Wales","St Marys","124051471","1","12405","Sydney - Outer West and Blue Mountains",174,"124","St Marys - Colyton","1GSYD","10600280000",58,"12405147153"
"Greater Sydney","Residential","New South Wales","St Marys","124051471","1","12405","Sydney - Outer West and Blue Mountains",118,"124","St Marys - Colyton","1GSYD","10600290000",50,"12405147133"
"Greater Sydney","Residential","New South Wales","St Marys","124051471","1","12405","Sydney - Outer West and Blue Mountains",130,"124","St Marys - Colyton","1GSYD","10600300000",52,"12405147138"
"Greater Sydney","Residential","New South Wales","St Marys","124051471","1","12405","Sydney - Outer West and Blue Mountains",114,"124","St Marys - Colyton","1GSYD","10600310000",43,"12405147138"
"Greater Sydney","Residential","New South Wales","St Marys","124051471","1","12405","Sydney - Outer West and Blue Mountains",119,"124","St Marys - Colyton","1GSYD","10600360000",45,"12405147143"
"Greater Sydney","Residential","New South Wales","St Marys","124051471","1","12405","Sydney - Outer West and Blue Mountains",112,"124","St Marys - Colyton","1GSYD","10600370000",39,"12405147152"
"Greater Sydney","Residential","New South Wales","St Marys","124051471","1","12405","Sydney - Outer West and Blue Mountains",131,"124","St Marys - Colyton","1GSYD","10600380000",43,"12405147152"
"Greater Sydney","Residential","New South Wales","St Marys","124051470","1","12405","Sydney - Outer West and Blue Mountains",133,"124","St Clair","1GSYD","10600390000",46,"12405147032"
"Greater Sydney","Residential","New South Wales","St Marys","124051471","1","12405","Sydney - Outer West and Blue Mountains",95,"124","St Marys - Colyton","1GSYD","10600400000",38,"12405147149"
"Greater Sydney","Residential","New South Wales","St Marys","124051470","1","12405","Sydney - Outer West and Blue Mountains",138,"124","St Clair","1GSYD","10600430000",41,"12405147019"
"Greater Sydney","Parkland","New South Wales","St Marys","124051471","1","12405","Sydney - Outer West and Blue Mountains",0,"124","St Marys - Colyton","1GSYD","10601890000",0,"12405147120"
"Greater Sydney","Residential","New South Wales","St Marys","124051471","1","12405","Sydney - Outer West and Blue Mountains",104,"124","St Marys - Colyton","1GSYD","10608750000",42,"12405147112"
"Greater Sydney","Parkland","New South Wales","St Marys","124051471","1","12405","Sydney - Outer West and Blue Mountains",0,"124","St Marys - Colyton","1GSYD","10601930000",0,"12405147120"
"Greater Sydney","Residential","New South Wales","St Marys","124051469","1","12405","Sydney - Outer West and Blue Mountains",153,"124","Erskine Park","1GSYD","10601120000",46,"12405146901"
"Greater Sydney","Parkland","New South Wales","St Marys","124051471","1","12405","Sydney - Outer West and Blue Mountains",0,"124","St Marys - Colyton","1GSYD","10601130000",0,"12405147121"
"Greater Sydney","Parkland","New South Wales","St Marys","124051471","1","12405","Sydney - Outer West and Blue Mountains",0,"124","St Marys - Colyton","1GSYD","10601950000",0,"12405147114"
"Greater Sydney","Parkland","New South Wales","St Marys","124051469","1","12405","Sydney - Outer West and Blue Mountains",0,"124","Erskine Park","1GSYD","10600990000",0,"12405146908"
"Greater Sydney","Parkland","New South Wales","St Marys","124051469","1","12405","Sydney - Outer West and Blue Mountains",0,"124","Erskine Park","1GSYD","10601100000",0,"12405146901"
"Greater Sydney","Residential","New South Wales","St Marys","124051471","1","12405","Sydney - Outer West and Blue Mountains",95,"124","St Marys - Colyton","1GSYD","10601870000",33,"12405147112"
"Greater Sydney","Parkland","New South Wales","St Marys","124051470","1","12405","Sydney - Outer West and Blue Mountains",0,"124","St Clair","1GSYD","10601320000",0,"12405147035"
"Greater Sydney","Parkland","New South Wales","St Marys","124051470","1","12405","Sydney - Outer West and Blue Mountains",0,"124","St Clair","1GSYD","10601350000",0,"12405147008"
"Greater Sydney","Education","New South Wales","St Marys","124051470","1","12405","Sydney - Outer West and Blue Mountains",0,"124","St Clair","1GSYD","10601360000",0,"12405147007"
"Greater Sydney","Parkland","New South Wales","St Marys","124051470","1","12405","Sydney - Outer West and Blue Mountains",0,"124","St Clair","1GSYD","10601370000",0,"12405147001"
"Greater Sydney","Education","New South Wales","St Marys","124051470","1","12405","Sydney - Outer West and Blue Mountains",0,"124","St Clair","1GSYD","10601380000",0,"12405147001"
"Greater Sydney","Residential","New South Wales","St Marys","124051470","1","12405","Sydney - Outer West and Blue Mountains",88,"124","St Clair","1GSYD","10601390000",36,"12405147001"
"Greater Sydney","Residential","New South Wales","St Marys","124051470","1","12405","Sydney - Outer West and Blue Mountains",125,"124","St Clair","1GSYD","10601400000",42,"12405147035"
"Greater Sydney","Residential","New South Wales","St Marys","124051470","1","12405","Sydney - Outer West and Blue Mountains",156,"124","St Clair","1GSYD","10601410000",51,"12405147009"
"Greater Sydney","Parkland","New South Wales","St Marys","124051470","1","12405","Sydney - Outer West and Blue Mountains",0,"124","St Clair","1GSYD","10601420000",0,"12405147009"
"Greater Sydney","Parkland","New South Wales","St Marys","124051470","1","12405","Sydney - Outer West and Blue Mountains",0,"124","St Clair","1GSYD","10601430000",0,"12405147033"
"Greater Sydney","Residential","New South Wales","St Marys","124051470","1","12405","Sydney - Outer West and Blue Mountains",103,"124","St Clair","1GSYD","10601440000",33,"12405147033"
"Greater Sydney","Parkland","New South Wales","St Marys","124051470","1","12405","Sydney - Outer West and Blue Mountains",0,"124","St Clair","1GSYD","10601510000",0,"12405147042"
"Greater Sydney","Residential","New South Wales","St Marys","124051470","1","12405","Sydney - Outer West and Blue Mountains",163,"124","St Clair","1GSYD","10601520000",54,"12405147042"
"Greater Sydney","Education","New South Wales","St Marys","124051470","1","12405","Sydney - Outer West and Blue Mountains",0,"124","St Clair","1GSYD","10601540000",0,"12405147028"
"Greater Sydney","Parkland","New South Wales","St Marys","124051470","1","12405","Sydney - Outer West and Blue Mountains",0,"124","St Clair","1GSYD","10601560000",0,"12405147028"
"Greater Sydney","Parkland","New South Wales","St Marys","124051471","1","12405","Sydney - Outer West and Blue Mountains",4,"124","St Marys - Colyton","1GSYD","10601820000",0,"12405147109"
"Greater Sydney","Residential","New South Wales","St Marys","124051470","1","12405","Sydney - Outer West and Blue Mountains",142,"124","St Clair","1GSYD","10601590000",39,"12405147033"
"Greater Sydney","Parkland","New South Wales","St Marys","124051470","1","12405","Sydney - Outer West and Blue Mountains",0,"124","St Clair","1GSYD","10601630000",0,"12405147031"
"Greater Sydney","Residential","New South Wales","St Marys","124051471","1","12405","Sydney - Outer West and Blue Mountains",135,"124","St Marys - Colyton","1GSYD","10601880000",49,"12405147114"
"Greater Sydney","Parkland","New South Wales","St Marys","124051470","1","12405","Sydney - Outer West and Blue Mountains",0,"124","St Clair","1GSYD","10601650000",0,"12405147020"
"Greater Sydney","Residential","New South Wales","St Marys","124051471","1","12405","Sydney - Outer West and Blue Mountains",148,"124","St Marys - Colyton","1GSYD","10601720000",51,"12405147107"
"Greater Sydney","Residential","New South Wales","St Marys","124051471","1","12405","Sydney - Outer West and Blue Mountains",88,"124","St Marys - Colyton","1GSYD","10601740000",30,"12405147107"
"Greater Sydney","Parkland","New South Wales","St Marys","124051471","1","12405","Sydney - Outer West and Blue Mountains",0,"124","St Marys - Colyton","1GSYD","10601750000",0,"12405147107"
"Greater Sydney","Parkland","New South Wales","St Marys","124051471","1","12405","Sydney - Outer West and Blue Mountains",0,"124","St Marys - Colyton","1GSYD","10601830000",0,"12405147109"
"Greater Sydney","Education","New South Wales","St Marys","124051471","1","12405","Sydney - Outer West and Blue Mountains",0,"124","St Marys - Colyton","1GSYD","10601840000",0,"12405147113"
"Greater Sydney","Residential","New South Wales","St Marys","124051471","1","12405","Sydney - Outer West and Blue Mountains",159,"124","St Marys - Colyton","1GSYD","10601850000",52,"12405147113"
"Greater Sydney","Parkland","New South Wales","St Marys","124051471","1","12405","Sydney - Outer West and Blue Mountains",0,"124","St Marys - Colyton","1GSYD","10601860000",0,"12405147113"
"Greater Sydney","Parkland","New South Wales","St Marys","124051471","1","12405","Sydney - Outer West and Blue Mountains",0,"124","St Marys - Colyton","1GSYD","10601900000",0,"12405147121"
"Greater Sydney","Residential","New South Wales","St Marys","124051471","1","12405","Sydney - Outer West and Blue Mountains",140,"124","St Marys - Colyton","1GSYD","10601910000",36,"12405147121"
"Greater Sydney","Parkland","New South Wales","St Marys","124051471","1","12405","Sydney - Outer West and Blue Mountains",0,"124","St Marys - Colyton","1GSYD","10601970000",0,"12405147151"
"Greater Sydney","Residential","New South Wales","St Marys","124051471","1","12405","Sydney - Outer West and Blue Mountains",109,"124","St Marys - Colyton","1GSYD","10601980000",41,"12405147106"
"Greater Sydney","Residential","New South Wales","St Marys","124051471","1","12405","Sydney - Outer West and Blue Mountains",74,"124","St Marys - Colyton","1GSYD","10601990000",37,"12405147106"
"Greater Sydney","Residential","New South Wales","St Marys","124051471","1","12405","Sydney - Outer West and Blue Mountains",133,"124","St Marys - Colyton","1GSYD","10602000000",41,"12405147150"
"Greater Sydney","Parkland","New South Wales","St Marys","124051471","1","12405","Sydney - Outer West and Blue Mountains",0,"124","St Marys - Colyton","1GSYD","10602010000",0,"12405147150"
"Greater Sydney","Parkland","New South Wales","St Marys","124051471","1","12405","Sydney - Outer West and Blue Mountains",0,"124","St Marys - Colyton","1GSYD","10602020000",0,"12405147119"
"Greater Sydney","Residential","New South Wales","St Marys","124051471","1","12405","Sydney - Outer West and Blue Mountains",139,"124","St Marys - Colyton","1GSYD","10602050000",54,"12405147104"
"Greater Sydney","Residential","New South Wales","St Marys","124051471","1","12405","Sydney - Outer West and Blue Mountains",82,"124","St Marys - Colyton","1GSYD","10602060000",37,"12405147104"
"Greater Sydney","Parkland","New South Wales","St Marys","124051471","1","12405","Sydney - Outer West and Blue Mountains",0,"124","St Marys - Colyton","1GSYD","10602070000",0,"12405147118"
"Greater Sydney","Residential","New South Wales","St Marys","124051471","1","12405","Sydney - Outer West and Blue Mountains",98,"124","St Marys - Colyton","1GSYD","10602080000",36,"12405147118"
"Greater Sydney","Education","New South Wales","St Marys","124051471","1","12405","Sydney - Outer West and Blue Mountains",4,"124","St Marys - Colyton","1GSYD","10602090000",0,"12405147117"
"Greater Sydney","Education","New South Wales","St Marys","124051471","1","12405","Sydney - Outer West and Blue Mountains",3,"124","St Marys - Colyton","1GSYD","10602100000",0,"12405147148"
"Greater Sydney","Parkland","New South Wales","St Marys","124051471","1","12405","Sydney - Outer West and Blue Mountains",0,"124","St Marys - Colyton","1GSYD","10602110000",0,"12405147148"
"Greater Sydney","Parkland","New South Wales","St Marys","124051471","1","12405","Sydney - Outer West and Blue Mountains",0,"124","St Marys - Colyton","1GSYD","10602120000",0,"12405147148"
"Greater Sydney","Residential","New South Wales","St Marys","124051471","1","12405","Sydney - Outer West and Blue Mountains",131,"124","St Marys - Colyton","1GSYD","10602130000",63,"12405147149"
"Greater Sydney","Parkland","New South Wales","St Marys","124051471","1","12405","Sydney - Outer West and Blue Mountains",0,"124","St Marys - Colyton","1GSYD","10602150000",0,"12405147139"
"Greater Sydney","Parkland","New South Wales","St Marys","124051471","1","12405","Sydney - Outer West and Blue Mountains",0,"124","St Marys - Colyton","1GSYD","10602270000",0,"12405147155"
"Greater Sydney","Residential","New South Wales","St Marys","124051471","1","12405","Sydney - Outer West and Blue Mountains",159,"124","St Marys - Colyton","1GSYD","10602310000",60,"12405147142"
"Greater Sydney","Parkland","New South Wales","St Marys","124051471","1","12405","Sydney - Outer West and Blue Mountains",0,"124","St Marys - Colyton","1GSYD","10602320000",0,"12405147142"
"Greater Sydney","Residential","New South Wales","St Marys","124051471","1","12405","Sydney - Outer West and Blue Mountains",114,"124","St Marys - Colyton","1GSYD","10602330000",47,"12405147142"
"Greater Sydney","Parkland","New South Wales","St Marys","124051471","1","12405","Sydney - Outer West and Blue Mountains",0,"124","St Marys - Colyton","1GSYD","10602340000",0,"12405147138"
"Greater Sydney","Parkland","New South Wales","St Marys","124051471","1","12405","Sydney - Outer West and Blue Mountains",5,"124","St Marys - Colyton","1GSYD","10602350000",0,"12405147137"
"Greater Sydney","Parkland","New South Wales","St Marys","124051471","1","12405","Sydney - Outer West and Blue Mountains",0,"124","St Marys - Colyton","1GSYD","10602360000",0,"12405147143"
"Greater Sydney","Education","New South Wales","St Marys","124051471","1","12405","Sydney - Outer West and Blue Mountains",0,"124","St Marys - Colyton","1GSYD","10602370000",0,"12405147132"
