,location,key,value,type
1,Oxley Park,buy_house,33.6688,a
2,St Marys South,buy_house,35.6817,a
3,St Clair West,buy_house,54.7605,a
4,Bennett Road,buy_house,44.3033,a
5,Bidwill,buy_house,28.3485,a
6,Blackett,buy_house,26.6026,a
7,St Clair East,buy_house,54.8754,a
8,Dharruk,buy_house,41.6138,a
9,Eastern Creek,buy_house,53.6058,a
10,Emerton,buy_house,27.7154,
11,Hebersham,buy_house,44.7441,
12,Lethbridge Park,buy_house,21.2565,
13,Whalan South,buy_house,24.1223,
14,Minchinbury,buy_house,57.4065,
15,Mount Druitt,buy_house,37.1474,
16,Mount Druitt North,buy_house,35.2069,
17,Mount Druitt South,buy_house,27.7929,
18,Plumpton,buy_house,61.1338,
19,Rooty Hill North,buy_house,38.4572,
20,Rooty Hill South,buy_house,44.0609,
21,St Clair,buy_house,50.6868,
22,St Marys North,buy_house,32,
23,Shalvey,buy_house,29.5436,
24,Tregear,buy_house,20.2857,
25,Whalan,buy_house,23.8251,
26,Willmot,buy_house,37.8551,
27,Erskine Park,buy_house,55.5483,
28,Hassall Grove,buy_house,60.7411,
29,Glendenning,buy_house,63.7309,
30,Schofields (Chifley),buy_house,35.3349,
31,Dean Park,buy_house,53.0525,
32,Marsden Park,buy_house,19.9616,
33,Oxley Park,dis_ser_,28.2161,
34,St Marys South,dis_ser_,27.9497,
35,St Clair West,dis_ser_,29.9752,
36,Bennett Road,dis_ser_,29.7168,
37,Bidwill,dis_ser_,28.4668,
38,Blackett,dis_ser_,30.1136,
39,St Clair East,dis_ser_,26.4634,
40,Dharruk,dis_ser_,31.032,
41,Eastern Creek,dis_ser_,23.4168,
42,Emerton,dis_ser_,29.0576,
43,Hebersham,dis_ser_,26.5823,
44,Lethbridge Park,dis_ser_,29.418,
45,Whalan South,dis_ser_,30.8161,
46,Minchinbury,dis_ser_,27.6643,
47,Mount Druitt,dis_ser_,25.8809,
48,Mount Druitt North,dis_ser_,27.8289,
49,Mount Druitt South,dis_ser_,29.6748,
50,Plumpton,dis_ser_,28.2209,
51,Rooty Hill North,dis_ser_,26.3841,
52,Rooty Hill South,dis_ser_,25.4888,
53,St Clair,dis_ser_,27.7537,
54,St Marys North,dis_ser_,28.5064,
55,Shalvey,dis_ser_,27.2795,
56,Tregear,dis_ser_,28.8945,
57,Whalan,dis_ser_,29.2653,
58,Willmot,dis_ser_,26.0123,
59,Erskine Park,dis_ser_,26.0676,
60,Hassall Grove,dis_ser_,28.3747,
61,Glendenning,dis_ser_,29.6957,
62,Schofields (Chifley),dis_ser_,23.0321,
63,Dean Park,dis_ser_,28.1897,
64,Marsden Park,dis_ser_,27.37,
65,Oxley Park,ot_ch_,17.0479,
66,St Marys South,ot_ch_,15.3703,
67,St Clair West,ot_ch_,13.8327,
68,Bennett Road,ot_ch_,16.4766,
69,Bidwill,ot_ch_,18.0568,
70,Blackett,ot_ch_,16.9193,
71,St Clair East,ot_ch_,14.5414,
72,Dharruk,ot_ch_,17.8999,
73,Eastern Creek,ot_ch_,17.2981,
74,Emerton,ot_ch_,20.2991,
75,Hebersham,ot_ch_,17.7742,
76,Lethbridge Park,ot_ch_,19.0556,
77,Whalan South,ot_ch_,16.2799,
78,Minchinbury,ot_ch_,17.8035,
79,Mount Druitt,ot_ch_,15.9155,
80,Mount Druitt North,ot_ch_,17.9682,
81,Mount Druitt South,ot_ch_,16.6942,
82,Plumpton,ot_ch_,16.4148,
83,Rooty Hill North,ot_ch_,14.7119,
84,Rooty Hill South,ot_ch_,18.5283,
85,St Clair,ot_ch_,14.5109,
86,St Marys North,ot_ch_,14.9796,
87,Shalvey,ot_ch_,18.6882,
88,Tregear,ot_ch_,19.242,
89,Whalan,ot_ch_,16.8012,
90,Willmot,ot_ch_,14.4037,
91,Erskine Park,ot_ch_,13.3382,
92,Hassall Grove,ot_ch_,17.6108,
93,Glendenning,ot_ch_,13.6667,
94,Schofields (Chifley),ot_ch_,13.0631,
95,Dean Park,ot_ch_,16.1117,
96,Marsden Park,ot_ch_,9.3865,
97,Oxley Park,islamic,3.6864,
98,St Marys South,islamic,3.8426,
99,St Clair West,islamic,2.8741,
100,Bennett Road,islamic,3.4221,
101,Bidwill,islamic,4.3028,
102,Blackett,islamic,3.354,
103,St Clair East,islamic,2.9018,
104,Dharruk,islamic,15.1795,
105,Eastern Creek,islamic,3.7884,
106,Emerton,islamic,5.1215,
107,Hebersham,islamic,10.0693,
108,Lethbridge Park,islamic,1.7144,
109,Whalan South,islamic,4.471,
110,Minchinbury,islamic,5.8289,
111,Mount Druitt,islamic,21.1067,
112,Mount Druitt North,islamic,15.0426,
113,Mount Druitt South,islamic,10.3719,
114,Plumpton,islamic,9.8295,
115,Rooty Hill North,islamic,5.661,
116,Rooty Hill South,islamic,3.1662,
117,St Clair,islamic,4.1892,
118,St Marys North,islamic,1.7368,
119,Shalvey,islamic,4.1476,
120,Tregear,islamic,3.3191,
121,Whalan,islamic,4.4387,
122,Willmot,islamic,3.578,
123,Erskine Park,islamic,2.3516,
124,Hassall Grove,islamic,7.6396,
125,Glendenning,islamic,6.1765,
126,Schofields (Chifley),islamic,1.3514,
127,Dean Park,islamic,5.6096,
128,Marsden Park,islamic,1.5521,
129,Oxley Park,lone_p_h,24,
130,St Marys South,lone_p_h,24.0052,
131,St Clair West,lone_p_h,9.426,
132,Bennett Road,lone_p_h,17.7119,
133,Bidwill,lone_p_h,15.6574,
134,Blackett,lone_p_h,19.5843,
135,St Clair East,lone_p_h,10.0325,
136,Dharruk,lone_p_h,15.0499,
137,Eastern Creek,lone_p_h,15.2542,
138,Emerton,lone_p_h,23.4568,
139,Hebersham,lone_p_h,15.1452,
140,Lethbridge Park,lone_p_h,25.2137,
141,Whalan South,lone_p_h,21.7687,
142,Minchinbury,lone_p_h,8.2033,
143,Mount Druitt,lone_p_h,15.4459,
144,Mount Druitt North,lone_p_h,16.433,
145,Mount Druitt South,lone_p_h,18.3051,
146,Plumpton,lone_p_h,9.3894,
147,Rooty Hill North,lone_p_h,13.4812,
148,Rooty Hill South,lone_p_h,17.5101,
149,St Clair,lone_p_h,12.1482,
150,St Marys North,lone_p_h,21.7143,
151,Shalvey,lone_p_h,15.493,
152,Tregear,lone_p_h,22.6429,
153,Whalan,lone_p_h,24.8087,
154,Willmot,lone_p_h,19.3594,
155,Erskine Park,lone_p_h,8.7582,
156,Hassall Grove,lone_p_h,8.3083,
157,Glendenning,lone_p_h,8.4488,
158,Schofields (Chifley),lone_p_h,22.1445,
159,Dean Park,lone_p_h,13.7153,
160,Marsden Park,lone_p_h,34.749,
161,Oxley Park,la_for_,57.4846,
162,St Marys South,la_for_,59.68,
163,St Clair West,la_for_,70.3273,
164,Bennett Road,la_for_,60.9933,
165,Bidwill,la_for_,46.3273,
166,Blackett,la_for_,43.1818,
167,St Clair East,la_for_,72.6933,
168,Dharruk,la_for_,53.8556,
169,Eastern Creek,la_for_,64.64,
170,Emerton,la_for_,40.5125,
171,Hebersham,la_for_,51.8769,
172,Lethbridge Park,la_for_,44.2778,
173,Whalan South,la_for_,38.8125,
174,Minchinbury,la_for_,67.9105,
175,Mount Druitt,la_for_,57.0059,
176,Mount Druitt North,la_for_,47.1,
177,Mount Druitt South,la_for_,47.1,
178,Plumpton,la_for_,64.3824,
179,Rooty Hill North,la_for_,62.1,
180,Rooty Hill South,la_for_,59.125,
181,St Clair,la_for_,71.62,
182,St Marys North,la_for_,42.3167,
183,Shalvey,la_for_,49.8455,
184,Tregear,la_for_,41.275,
185,Whalan,la_for_,46.95,
186,Willmot,la_for_,43.82,
187,Erskine Park,la_for_,65.6389,
188,Hassall Grove,la_for_,67.7875,
189,Glendenning,la_for_,69.4357,
190,Schofields (Chifley),la_for_,53.56,
191,Dean Park,la_for_,59.0636,
192,Marsden Park,la_for_,62.1667,
193,Oxley Park,man_proportion,18.2303,
194,St Marys South,man_proportion,18.9827,
195,St Clair West,man_proportion,18.5527,
196,Bennett Road,man_proportion,16.8947,
197,Bidwill,man_proportion,14.6425,
198,Blackett,man_proportion,9.6591,
199,St Clair East,man_proportion,21.6768,
200,Dharruk,man_proportion,13.8081,
201,Eastern Creek,man_proportion,22.8277,
202,Emerton,man_proportion,12.0419,
203,Hebersham,man_proportion,17.519,
204,Lethbridge Park,man_proportion,13.6508,
205,Whalan South,man_proportion,11.5713,
206,Minchinbury,man_proportion,21.5075,
207,Mount Druitt,man_proportion,20.9903,
208,Mount Druitt North,man_proportion,19.0132,
209,Mount Druitt South,man_proportion,19.2218,
210,Plumpton,man_proportion,22.4072,
211,Rooty Hill North,man_proportion,20.084,
212,Rooty Hill South,man_proportion,18.6821,
213,St Clair,man_proportion,20.8054,
214,St Marys North,man_proportion,14.7081,
215,Shalvey,man_proportion,13.154,
216,Tregear,man_proportion,8.794,
217,Whalan,man_proportion,11.208,
218,Willmot,man_proportion,21.4724,
219,Erskine Park,man_proportion,24.3252,
220,Hassall Grove,man_proportion,19.3655,
221,Glendenning,man_proportion,21.6227,
222,Schofields (Chifley),man_proportion,23.0321,
223,Dean Park,man_proportion,20.2835,
224,Marsden Park,man_proportion,24.9235,
225,Oxley Park,pentec_,1.6028,
226,St Marys South,pentec_,0.7685,
227,St Clair West,pentec_,1.3165,
228,Bennett Road,pentec_,0.8731,
229,Bidwill,pentec_,1.388,
230,Blackett,pentec_,2.1615,
231,St Clair East,pentec_,1.1124,
232,Dharruk,pentec_,0.7073,
233,Eastern Creek,pentec_,3.1451,
234,Emerton,pentec_,1.5701,
235,Hebersham,pentec_,1.4472,
236,Lethbridge Park,pentec_,0.7589,
237,Whalan South,pentec_,1.7065,
238,Minchinbury,pentec_,1.8465,
239,Mount Druitt,pentec_,2.2062,
240,Mount Druitt North,pentec_,1.7738,
241,Mount Druitt South,pentec_,1.6322,
242,Plumpton,pentec_,2.7728,
243,Rooty Hill North,pentec_,2.2373,
244,Rooty Hill South,pentec_,1.847,
245,St Clair,pentec_,1.1445,
246,St Marys North,pentec_,1.0312,
247,Shalvey,pentec_,1.4468,
248,Tregear,pentec_,2.3996,
249,Whalan,pentec_,2.8247,
250,Willmot,pentec_,2.9128,
251,Erskine Park,pentec_,1.5433,
252,Hassall Grove,pentec_,1.5087,
253,Glendenning,pentec_,1.549,
254,Schofields (Chifley),pentec_,0.3003,
255,Dean Park,pentec_,2.2029,
256,Marsden Park,pentec_,0.4435,
257,Oxley Park,uk,3.0886,
258,St Marys South,uk,3.9572,
259,St Clair West,uk,3.3562,
260,Bennett Road,uk,3.1413,
261,Bidwill,uk,2.3719,
262,Blackett,uk,2.9806,
263,St Clair East,uk,3.5801,
264,Dharruk,uk,2.3667,
265,Eastern Creek,uk,2.0729,
266,Emerton,uk,3.07,
267,Hebersham,uk,2.8292,
268,Lethbridge Park,uk,3.6548,
269,Whalan South,uk,2.6639,
270,Minchinbury,uk,2.3262,
271,Mount Druitt,uk,0.8963,
